assumption_id,assumption_name,base_value,unit,status,owner,used_in,sensitivity_required,claim_boundary,change_control
A001,investigation_cost_per_alert,5.00,cost units per alert,LOCKED,Risk Analytics,"threshold economics, alert capacity, net benefit",Yes,"Illustrative educational assumption, not a market benchmark",Change request required before model review
A002,preventable_loss_rate,70%,percent of captured fraud amount,LOCKED,Fraud Risk,prevented loss and net benefit,Yes,Illustrative educational assumption,Change request required before model review
A003,alert_capacity_per_day,250,alerts per day,LOCKED,Fraud Operations,threshold feasibility and backlog risk,Yes,Portfolio capacity proxy,Capacity change must show threshold impact
A004,false_positive_friction_cost,2.00,cost units per false positive action,LOCKED,Customer Risk,net benefit and customer friction trade-off,Yes,Illustrative educational assumption,Change request required before model review
A005,candidate_alert_rate_grid,"0.05%, 0.10%, 0.20%, 0.50%, 1.00%, 2.00%, 5.00%",share of transactions alerted,LOCKED,Model Risk,threshold search grid,No,Threshold grid frozen before model review,Grid change requires documented approval
A006,probability_calibration_method,Platt/sigmoid default; isotonic only if calibration fraud count >= 200 or CV evidence supports it,method rule,LOCKED,Model Risk,economic probability usage,Conditional,Calibration fitted outside final test set,Calibration method change requires validation note
A007,fairness_gap_review_trigger,>10pp absolute gap,percentage points,LOCKED,Operational Risk,operational segment fairness diagnostics,No,Operational segment diagnostic only; no legal fairness claim,Trigger change requires governance approval
A008,fairness_minimum_sample_rule,">=1,000 transactions per group and >=20 fraud events for fraud-capture comparisons",count rule,LOCKED,Operational Risk,diagnostic reliability,No,Suppress or caveat insufficient evidence groups,Change requires validation sign-off
A009,friendly_fraud_timing,post-transaction dispute/claim layer,method rule,LOCKED,Fraud Risk,synthetic disputes design,No,Not treated as real-time transaction fraud,Unsupported friendly-fraud placeholders must be removed
A010,project3_credit_segment_usage,synthetic contextual feature only,claim rule,LOCKED,Portfolio Governance,synthetic customer-context enrichment,No,No credit-fraud causality claim,Any causal wording must be removed
A011,observed_time_field,monitoring_period proxy; original Time unavailable in current Project 0 copy,data availability rule,LOCKED,Data Governance,split/stability design,No,Use proxy disclosure in all observed benchmark reporting,"If Time is recovered, update contract and reconciliation"
