scenario_id,scenario,frequency,severity,gross_loss_estimate,recovery_estimate,net_loss_estimate,customer_impact,control_effectiveness,residual_risk,management_action,escalation_threshold,data_layer,data_status,source_type,claim_boundary
SCN-01,Fraud-model outage,Occasional,Material,90000,16200.0,73800.0,900,0.65,Medium,Rules-only mode,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-02,Device-intelligence vendor outage,Likely,Material,65000,6500.0,58500.0,650,0.55,Medium,Conservative step-up,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-03,OTP-service outage,Occasional,Material,80000,9600.0,70400.0,800,0.6,Medium,Hold high risk / alternate authentication,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-04,Rule deployment error,Occasional,Material,120000,9600.0,110400.0,1200,0.45,High,Rollback ruleset,Immediate Risk Committee,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-05,Alert-volume spike,Likely,Material,70000,4900.000000000001,65100.0,700,0.5,Medium,Priority protection and surge capacity,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-06,Score-scale mismatch,Rare,Severe,180000,9000.0,171000.0,1800,0.35,High,Release block,Immediate Risk Committee,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-07,Duplicate payment processing,Occasional,Material,95000,28500.0,66500.0,950,0.55,Medium,Idempotency and reversal,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-08,Data-latency incident,Likely,Material,55000,5500.0,49500.0,550,0.6,Medium,Stale-data flag and fallback,Monthly monitoring,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-09,Insider override abuse,Rare,Severe,250000,37500.0,212500.0,2500,0.3,High,Dual approval and access suspension,Immediate Risk Committee,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
SCN-10,Third-party compromise,Rare,Severe,400000,80000.0,320000.0,4000,0.25,Critical,Vendor isolation and emergency controls,Immediate Risk Committee,Synthetic,Proxy,Operational-risk scenario assumptions,"Educational scenario estimates, not regulatory capital outputs"
