rule_id,rule_name,rule_description,condition,priority,severity,reason_code,action,customer_friction_risk,fallback_behavior,data_layer,owner,effective_date,status,expected_alert_rate,expected_fraud_capture,limitation,data_status,source_type,claim_boundary
FRD-001,Known beneficiary blacklist,Simulated beneficiary blacklist hit,blacklist_hit == 1,1,CRITICAL,RC_BLACKLIST,BLOCK_ACCOUNT,High,Hold and escalate if blacklist service is unavailable,Synthetic,Fraud Strategy,2026-07-11,Testing,0.002904,0.0023186485591255384,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-010,Critical account takeover,ATO signal with five or more OTP failures,account_takeover_signal == 1 AND failed_otp_count >= 5,2,CRITICAL,RC_ATO_CRITICAL,HOLD,High,Conservative hold and identity verification,Synthetic,Fraud Strategy,2026-07-11,Testing,0.0047,0.013580655846306725,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-011,Unsafe device high amount,Rooted or emulated device with material amount,(rooted_device_flag == 1 OR emulator_flag == 1) AND amount >= 1000,3,HIGH,RC_DEVICE_UNSAFE,HOLD,Medium,Step-up when device intelligence unavailable,Synthetic,Fraud Strategy,2026-07-11,Testing,0.000456,0.0009937065253395165,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-020,New beneficiary high risk,"New beneficiary, elevated beneficiary risk and high amount",new_beneficiary_flag == 1 AND beneficiary_risk_score >= 35 AND amount >= 1000,3,HIGH,RC_NEW_BENEFICIARY,MANUAL_REVIEW,Medium,Step-up plus cooling-off period,Synthetic,Fraud Strategy,2026-07-11,Testing,0.000648,0.0009937065253395165,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-021,Mule network concentration,Multiple-account device with elevated beneficiary risk,multiple_accounts_device_flag == 1 AND beneficiary_risk_score >= 50,3,HIGH,RC_MULE_NETWORK,MANUAL_REVIEW,Medium,Manual review,Synthetic,Fraud Strategy,2026-07-11,Testing,0.002736,0.005631003643590593,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-030,Extreme 10-minute velocity,Eight or more transactions in ten minutes,transactions_last_10m >= 8,3,HIGH,RC_HIGH_VELOCITY,HOLD,Medium,Use one-hour velocity proxy,Synthetic,Fraud Strategy,2026-07-11,Testing,0.007756,0.0483603842331898,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-031,Amount spike and daily aggregation,Amount far above baseline and elevated 24-hour amount,amount_spike_ratio >= 8 AND amount_last_24h >= 5000,4,HIGH,RC_UNUSUAL_AMOUNT,MANUAL_REVIEW,Medium,Step-up when history is stale,Synthetic,Fraud Strategy,2026-07-11,Testing,0.002764,0.0023186485591255384,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-032,Card-testing burst,Low-value transaction with extreme short velocity,amount <= 20 AND transactions_last_10m >= 10,4,HIGH,RC_CARD_TESTING,HOLD,Low,Merchant/channel velocity check,Synthetic,Fraud Strategy,2026-07-11,Testing,0.001248,0.009937065253395164,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-040,OTP failure,Five or more failed OTP attempts,failed_otp_count >= 5,5,MEDIUM,RC_AUTH_FAILURE,STEP_UP,Medium,Hold if authentication service unavailable,Synthetic,Fraud Strategy,2026-07-11,Testing,0.013136,0.029811195760185493,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-050,Geography-device mismatch,"Country mismatch, new device and high-risk IP",country_mismatch_flag == 1 AND new_device_flag == 1 AND ip_risk_score >= 70,3,HIGH,RC_GEO_MISMATCH,HOLD,High,Conservative step-up,Synthetic,Fraud Strategy,2026-07-11,Testing,0.0003,0.004637297118251077,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-051,Impossible travel proxy,Large location distance plus country mismatch,distance_from_last_transaction >= 1000 AND country_mismatch_flag == 1,4,HIGH,RC_IMPOSSIBLE_TRAVEL,MANUAL_REVIEW,Medium,Step-up,Synthetic,Fraud Strategy,2026-07-11,Testing,0.001004,0.0029811195760185492,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-060,Night amount anomaly,Night-time transaction materially above customer baseline,night_transaction_flag == 1 AND amount_spike_ratio >= 6,6,MEDIUM,RC_BEHAVIOUR_CHANGE,STEP_UP,Medium,Allow only below low-value limit,Synthetic,Fraud Strategy,2026-07-11,Testing,0.004324,0.004968532626697582,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-061,Merchant-device risk,"High-risk merchant, high amount and weak device trust",high_risk_merchant_flag == 1 AND amount >= 1000 AND device_trust_score < 40,4,HIGH,RC_MERCHANT_DEVICE,MANUAL_REVIEW,Medium,Step-up,Synthetic,Fraud Strategy,2026-07-11,Testing,0.000156,0.0009937065253395165,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-070,Privileged override misuse,Privileged override applied to a high-value transaction,privileged_override_flag == 1 AND amount >= 2000,2,CRITICAL,RC_OVERRIDE_MISUSE,BLOCK_ACCOUNT,High,Hold and dual approval,Synthetic,Fraud Strategy,2026-07-11,Testing,8.8e-05,0.0,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
FRD-080,Duplicate transaction,Duplicate transaction marker,duplicate_transaction_flag == 1,2,CRITICAL,RC_DUPLICATE_TXN,HOLD,Low,Idempotency check then hold,Synthetic,Fraud Strategy,2026-07-11,Testing,0.0005,0.0003312355084465055,Synthetic controls-testing evidence only,Synthetic,Synthetic observable features,No observed production rule effectiveness claim
